PenID	Batch	celsius	Days	Sample	Wafer	Pmax	Locus	Event
BFQG87	PA	70.00	2.00	2.00	8.00	47.60	0.00	Failure
BFQG1N	PA	70.00	2.00	3.00	9.00	41.80	0.00	Failure
BFQFV9	PA	70.00	2.00	4.00	9.00	52.90	0.00	Failure
BFQFNT	PA	70.00	2.00	5.00	10.00	51.10	0.00	Failure
BFQFSM	PA	70.00	2.00	6.00	10.00	54.00	0.00	Failure
BFQG73	PA	70.00	4.00	1.00	8.00	21.60	0.00	Failure
BFQG92	PA	70.00	4.00	2.00	8.00	25.00	0.00	Failure
BFQG10	PA	70.00	4.00	4.00	9.00	35.50	0.00	Failure
BFQFSW	PA	70.00	4.00	5.00	10.00	27.00	0.00	Failure
BFQFS7	PA	70.00	4.00	6.00	10.00	29.90	0.00	Failure
BFQG37	PA	70.00	7.00	1.00	8.00	27.50	0.00	Failure
BFQG9L	PA	70.00	7.00	2.00	8.00	24.40	0.00	Failure
BFQFXT	PA	70.00	7.00	3.00	9.00	27.00	0.00	Failure
BFQG22	PA	70.00	7.00	4.00	9.00	26.00	0.00	Failure
BFQFP0	PA	70.00	7.00	5.00	10.00	28.30	0.00	Failure
BFQFPQ	PA	70.00	7.00	6.00	10.00	26.60	0.00	Failure
BFQG3J	PA	70.00	11.00	1.00	8.00	25.80	0.00	Failure
BFQG3C	PA	70.00	11.00	2.00	8.00	22.70	0.00	Failure
BFQG2F	PA	70.00	11.00	3.00	9.00	23.60	0.00	Failure
BFQFV3	PA	70.00	11.00	4.00	9.00	21.30	0.00	Failure
BFQFT1	PA	70.00	11.00	5.00	10.00	23.00	0.00	Failure
BFQFSF	PA	70.00	11.00	6.00	10.00	25.50	0.00	Failure
BFQG6T	PA	70.00	21.00	1.00	8.00	14.20	0.00	Failure
BFQFXB	PA	70.00	21.00	3.00	9.00	9.60	0.00	Failure
BFQFZF	PA	70.00	21.00	4.00	9.00	10.60	0.00	Failure
BFQFSD	PA	70.00	21.00	5.00	10.00	11.20	0.00	Failure
BFQFSH	PA	70.00	21.00	6.00	10.00	12.30	0.00	Failure
