Inches	Specimen	MCycles
0.90	15.00	0.00
0.92	15.00	0.01
0.96	15.00	0.02
0.99	15.00	0.03
1.03	15.00	0.04
1.06	15.00	0.05
1.10	15.00	0.06
1.16	15.00	0.07
1.21	15.00	0.08
1.27	15.00	0.09
1.33	15.00	0.10
1.40	15.00	0.11
1.49	15.00	0.12
0.90	16.00	0.00
0.92	16.00	0.01
0.95	16.00	0.02
0.97	16.00	0.03
1.00	16.00	0.04
1.03	16.00	0.05
1.07	16.00	0.06
1.11	16.00	0.07
1.16	16.00	0.08
1.22	16.00	0.09
1.26	16.00	0.10
1.33	16.00	0.11
1.40	16.00	0.12
0.90	17.00	0.00
0.93	17.00	0.01
0.96	17.00	0.02
0.97	17.00	0.03
1.00	17.00	0.04
1.05	17.00	0.05
1.08	17.00	0.06
1.11	17.00	0.07
1.16	17.00	0.08
1.20	17.00	0.09
1.24	17.00	0.10
1.32	17.00	0.11
1.38	17.00	0.12
0.90	18.00	0.00
0.92	18.00	0.01
0.94	18.00	0.02
0.97	18.00	0.03
1.01	18.00	0.04
1.04	18.00	0.05
1.07	18.00	0.06
1.09	18.00	0.07
1.14	18.00	0.08
1.19	18.00	0.09
1.23	18.00	0.10
1.28	18.00	0.11
1.35	18.00	0.12
0.90	19.00	0.00
0.92	19.00	0.01
0.94	19.00	0.02
0.97	19.00	0.03
0.99	19.00	0.04
1.02	19.00	0.05
1.05	19.00	0.06
1.08	19.00	0.07
1.12	19.00	0.08
1.16	19.00	0.09
1.20	19.00	0.10
1.25	19.00	0.11
1.31	19.00	0.12
0.90	20.00	0.00
0.92	20.00	0.01
0.94	20.00	0.02
0.97	20.00	0.03
0.99	20.00	0.04
1.02	20.00	0.05
1.05	20.00	0.06
1.08	20.00	0.07
1.12	20.00	0.08
1.16	20.00	0.09
1.19	20.00	0.10
1.24	20.00	0.11
1.29	20.00	0.12
0.90	21.00	0.00
0.92	21.00	0.01
0.94	21.00	0.02
0.97	21.00	0.03
0.99	21.00	0.04
1.02	21.00	0.05
1.04	21.00	0.06
1.07	21.00	0.07
1.11	21.00	0.08
1.14	21.00	0.09
1.18	21.00	0.10
1.22	21.00	0.11
1.27	21.00	0.12
