Strain	Cycles	Event
0.0062	36420	Failed
0.0063	34590	Failed
0.0063	46645	Failed
0.0064	30297	Failed
0.0066	23674	Failed
0.0066	27455	Failed
0.0067	12922	Failed
0.0067	12922	Failed
0.0067	32570	Failed
0.0068	18394	Failed
0.0068	27780	Failed
0.0068	33510	Failed
0.0070	27766	Failed
0.0071	11110	Failed
0.0071	14536	Failed
0.0071	14710	Failed
0.0071	16436	Failed
0.0071	17162	Failed
0.0071	21749	Failed
0.0071	23465	Failed
0.0071	24221	Failed
0.0071	27843	Failed
0.0072	12824	Failed
0.0072	30292	Failed
0.0073	13055	Failed
0.0073	31308	Failed
0.0074	14236	Failed
0.0074	15349	Failed
0.0076	17062	Failed
0.0079	32562	Failed
0.0080	13068	Failed
0.0083	16617	Failed
0.0083	16617	Failed
0.0084	14256	Failed
0.0084	14256	Failed
0.0087	7431	Failed
0.0087	19488	Failed
0.0088	8605	Failed
0.0090	9613	Failed
0.0091	8777	Failed
0.0091	12411	Failed
0.0091	12851	Failed
0.0091	13099	Failed
0.0091	13821	Failed
0.0092	12950	Failed
0.0094	10366	Failed
0.0096	8705	Failed
0.0097	9209	Failed
0.0099	4718	Failed
0.0100	4470	Failed
0.0100	5133	Failed
0.0100	5604	Failed
0.0100	5708	Failed
0.0100	5783	Failed
0.0100	5790	Failed
0.0100	6009	Failed
0.0100	6733	Failed
0.0100	6963	Failed
0.0100	7533	Failed
0.0100	7887	Failed
0.0100	8203	Failed
0.0100	8536	Failed
0.0100	9271	Failed
0.0101	9640	Failed
0.0102	5300	Failed
0.0102	5730	Failed
0.0102	5754	Failed
0.0102	6290	Failed
0.0102	6700	Failed
0.0102	7060	Failed
0.0102	7240	Failed
0.0102	7784	Failed
0.0102	8580	Failed
0.0102	8740	Failed
0.0102	10580	Failed
0.0103	5620	Failed
0.0103	6950	Failed
0.0103	9630	Failed
0.0103	9910	Failed
0.0104	6800	Failed
0.0105	11019	Failed
0.0110	6268	Failed
0.0110	6571	Failed
0.0110	6571	Failed
0.0110	7061	Failed
0.0110	7061	Failed
0.0111	4433	Failed
0.0111	4433	Failed
0.0111	4932	Failed
0.0111	4932	Failed
0.0111	4968	Failed
0.0111	4968	Failed
0.0112	7388	Failed
0.0112	7388	Failed
0.0113	5226	Failed
0.0113	5226	Failed
0.0113	8140	Failed
0.0115	6171	Failed
0.0115	6171	Failed
0.0115	7103	Failed
0.0115	8064	Failed
0.0116	4404	Failed
0.0116	4404	Failed
0.0116	6984	Failed
0.0116	7567	Failed
0.0118	6988	Failed
0.0128	3766	Failed
0.0129	3470	Failed
0.0129	3856	Failed
0.0129	4142	Failed
0.0130	3838	Failed
0.0132	4057	Failed
0.0132	5133	Failed
0.0132	5133	Failed
0.0133	5039	Failed
0.0133	5039	Failed
0.0146	3788	Failed
0.0146	4235	Failed
0.0150	4631	Failed
0.0151	3165	Failed
0.0152	1800	Failed
0.0152	4021	Failed
0.0153	2290	Failed
0.0153	4091	Failed
0.0154	2420	Failed
0.0154	3028	Failed
0.0154	3264	Failed
0.0154	3264	Failed
0.0155	2500	Failed
0.0164	2801	Failed
0.0170	2410	Failed
0.0171	2230	Failed
0.0190	2209	Failed
0.0192	1445	Failed
0.0192	1899	Failed
0.0196	1273	Failed
0.0197	1249	Failed
0.0200	1625	Failed
0.0200	1780	Failed
0.0201	1215	Failed
0.0203	1201	Failed
0.0204	1012	Failed
0.0221	973	Failed
0.0223	842	Failed


